shopid,itemid,rating_total
123466118,1877321598,142
123466118,1906637450,2081
123466118,1877321530,184
123466118,8657824267,32
123466118,5670912230,361
123466118,1877321699,259
123466118,7680932517,1
123466118,7632903432,34
123466118,3455568483,54
123466118,1877321607,129
123466118,5571235968,72
123466118,2129767756,131
123466118,6161965780,6
123466118,6690933257,185
123466118,2062857688,832
123466118,6613425304,712
123466118,2256487511,125
123466118,1933139195,34
123466118,1877321632,698
123466118,4320576035,124
123466118,7807441265,793
123466118,1882270478,457
123466118,5859097471,50
123466118,1966493718,411
123466118,3210562698,790
123466118,4607411127,240
123466118,8105273302,152
123466118,8966408033,3
123466118,5571753360,7
123466118,1877321628,120
123466118,1932230365,482
123466118,5159071047,147
123466118,7232011488,13
123466118,3961410959,48
123466118,6590828840,15
123466118,3784120967,89
123466118,11606284962,110
123466118,10203342028,0
123466118,9766408879,1
123466118,3588968357,234
123466118,1877321684,56
123466118,9349906548,186
123466118,7158839809,4
123466118,1906639432,2205
123466118,9521860141,0
123466118,8165431893,22
123466118,2585522892,146
123466118,9765553804,3
123466118,2967498624,0
123466118,1877321702,2744
123466118,5902707431,122
123466118,1877321572,49
123466118,1877321755,13
123466118,1877321524,1010
123466118,2300069333,37
123466118,5335023326,8
123466118,1877321708,3272
123466118,1906606553,143
123466118,7820070121,32
123466118,3714076169,179
123466118,1877321720,1433
123466118,6700266621,38
123466118,2675606088,118
123466118,2425413062,300
123466118,9642276652,692
123466118,2528771422,73
123466118,11608409971,1
123466118,6113086976,671
123466118,1972263634,15
123466118,9262093924,11
123466118,1938358972,1
123466118,1877321588,0
123466118,1877321545,11
123466118,1877321601,1
123466118,6633944625,387
123466118,5342800195,461
123466118,7906614448,43
123466118,1877321686,18
123466118,7158988015,107
123466118,7183957394,234
123466118,4433946862,822
123466118,4058467744,203
123466118,4209704008,650
123466118,3713411417,216
123466118,2466143219,645
123466118,4241799542,60
123466118,1974825340,1580
123466118,4330322890,692
123466118,9942675567,138
123466118,3762255494,23
123466118,9863345246,70
123466118,11208044043,9
123466118,5886685822,1009
123466118,2608230344,162
123466118,6339445891,520
123466118,4956601270,10
123466118,6006617561,45
123466118,4206795305,3004
123466118,4761397400,70
123466118,1877321716,4924
123466118,2129685985,1524
123466118,3362069342,38
123466118,8862116263,12
123466118,3738171571,201
123466118,1877321527,762
123466118,6761508045,1744
123466118,9024043773,185
123466118,8566054219,14
123466118,7957758620,242
123466118,3481560744,187
123466118,8254312068,3
123466118,7403435336,942
123466118,7062953880,92
123466118,1877321665,909
123466118,7671766015,0
123466118,5288747595,167
123466118,9042273230,746
123466118,3879082076,5
123466118,2618331177,1604
123466118,4471837746,44
123466118,6180942838,9
123466118,6078984417,101
123466118,11903560667,252
123466118,8242269292,289
123466118,1877321752,757
123466118,6636161554,34
123466118,1877321737,3889
123466118,4188682950,98
123466118,5102376265,1072
123466118,3535117774,168
123466118,2257336011,1623
123466118,1877321528,240
123466118,4361396067,279
123466118,5733786218,176
123466118,2655414783,68
123466118,1877321519,416
123466118,5962951637,206
123466118,11403545757,95
123466118,1877321691,364
123466118,11803546858,22
123466118,1877321624,158
123466118,7760885470,41
123466118,2284534727,36
123466118,4137798129,46
123466118,7955466644,14
123466118,5371755113,91
123466118,7703272878,256
123466118,3487750809,15
123466118,1877321570,94
123466118,2568108748,33
123466118,6614582994,72
123466118,4432014748,25
123466118,1971812958,59
123466118,1877321654,86
123466118,1939982944,139
123466118,8521856880,4
123466118,10104331759,294
123466118,1937505221,703
123466118,4691681948,1
123466118,7961968629,49
123466118,4713052969,17
123466118,5471765475,151
123466118,1877321630,195
123466118,1877321646,179
123466118,4171767166,6
123466118,3791734174,2
123466118,9447750361,644
123466118,11203548763,109
123466118,6108465430,886
123466118,1877321590,101
123466118,11503674605,21
123466118,7059065770,112
123466118,1877321521,48
123466118,3148214205,14
123466118,1877321732,1720
123466118,1964437249,2584
123466118,7971846014,27
